Trial,Block,Visual,Motor,DynamicClickRate,StartX,StartZ,OrientX,OrientZ,EgocentricAngle_0,Distance_0,WaypointX_0,WaypointZ_0,EgocentricAngle_1,Distance_1,WaypointX_1,WaypointZ_1
0,1,TRUE,FALSE,0,4,0,14,0,225,4,1.171573,-2.828427,315,4,-2.828427,-2.828427
1,1,TRUE,FALSE,0,-4,0,-4,10,0,4,-4,4,270,8,4,4
2,1,TRUE,FALSE,0,0,0,10,0,135,4,-2.828427,2.828427,180,8,2.828426,-2.828428
3,1,TRUE,FALSE,0,4,0,11.07107,7.071068,45,4,4,4,90,8,-4,3.999999
4,1,TRUE,FALSE,0,-4,0,5.238795,-3.826834,45,8,3.391036,3.061468,225,8,0.3295674,-4.329568
5,1,TRUE,FALSE,0,-4,0,6,0,0,8,4,0,270,4,4,-4
6,1,TRUE,FALSE,0,0,0,10,0,90,4,-1.75E-07,4,180,4,-1.27E-07,0
7,1,TRUE,FALSE,0,4,0,-5.238795,-3.826834,315,8,-3.391036,3.061468,135,8,-0.3295672,-4.329568
8,1,TRUE,FALSE,0,-4,0,6,0,45,4,-1.171573,2.828427,180,4,-4,2.38E-07
9,1,TRUE,FALSE,0,-4,0,6,0,0,8,4,0,135,4,1.171573,2.828427
10,1,TRUE,FALSE,0,-4,0,6,0,270,4,-4,-4,90,8,4,-4
11,1,TRUE,FALSE,0,4,0,14,0,180,8,-4,-6.99E-07,90,4,-4,-4
12,1,TRUE,FALSE,0,4,0,11.07107,-7.071069,315,4,4,-4,270,8,-4,-4
13,1,TRUE,FALSE,0,0,0,10,0,0,4,4,0,225,4,1.171573,-2.828427
14,1,TRUE,FALSE,0,-4,0,-0.1731658,9.238795,315,8,3.391036,3.061468,225,8,0.3295674,-4.329568
15,1,TRUE,FALSE,0,4,0,0.173166,9.238795,45,8,-3.391036,3.061468,135,8,-0.3295672,-4.329568
16,2,TRUE,TRUE,9,-4,0,3.071066,-7.071069,45,8,4,0,90,4,4,4
